Unnamed: 0,번호,제목,저자,출판사,출판일
,69,Transformer-Isolated Resonant Driver for Parallel Strings With Robust Balancing and Stabilization of Individual LED Current,"Zhang, R.; Shu-Hung Chung, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,70,Transformer-driven stroboscopic x-ray generator SX-T98,"Sato, E.; Ichimaru, T.; Usuki, T.; Sato, K.",SPIE,1998
,71,Transformer-Type Pulse High Voltage Generator,"Irisawa, J.;Takano, S.;Terao, K.",The Institute,1994
,72,Transformer-fault diagnosis by integrating field data and standard codes with training enhancible adaptive probabilistic network,"Lin, W.-M.; Lin, C.-H.; Tasy, M. X.",INSTITUTION OF ELECTRICAL ENGINEERS,2005
,73,Transformers: The Last Knight,R. B,Conde Nast Publications,2017
,74,Transformer-Based Uneven Doherty Power Amplifier in 90 nm CMOS for WLAN Applications,"Kaymaksut, E.; Reynaert, P.",IEEE; 1998,2012
,75,Transformers: The Last Knight,R. B,Conde Nast Publications,2017
,76,Transformer-Based Single-Phase AC&#x2013;DC&#x2013;AC Topology for Grid Issues Mitigation,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,77,Transformer: A Functional-Driven Cycle-Accurate Multicore Simulator,"Min, Q.; Zhang, W.; Zang, B.; Li, J.; Chen, H.; Fang, Z.; Zhou, K.; Lu, Y.; Hu, Y.",Piscataway; IEEE,2012
,78,Transformer2 proteins protect breast cancer cells from accumulating replication stress by ensuring productive splicing of checkpoint kinase 1,"Best, A.; James, K.; Hysenaj, G.; Tyson-Capper, A.; Elliott, D. J.",Springer Science and Business Media,2016
,79,Transformer‐less dynamic voltage restorer based on buck‐boost converter,"Nazarpour, Dariush; Farzinnia, Mohammadreza; Nouhi, Hafez",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2017
,80,Transformer-Assisted PWM Zero-Voltage Switching Pole Inverter with High Output Bandwidth Applied to Linear Motor Drives,"Myrzik, J. M. A.; Duarte, J. L.; de Haardt, P.; Vissers, J.",unknown,2002
,81,Transformer‐less five‐level high‐voltage full‐scale converter with a self‐balance auxiliary circuit for 10 MW wind turbines,"Zeng, Xiang‐jun; Wang, Hang; Zhang, Xiao; Gong, De‐ling; Yang, Xu",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2017
,82,Transformer-Less Unified Power-Flow Controller Using the Cascade Multilevel Inverter,"Peng, F. Z.; Liu, Y.; Yang, S.; Zhang, S.; Gunasekaran, D.; Karki, U.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,83,"Transformer-Reuse Reconfigurable Synchronous Boost Converter with 20 mV MPPT-Input, 88% Efficiency, and 37 mW Maximum Output Power","Im,  Jong-Pil; Moon,  Seung-Eon; Lyuh,  Chun-Gi",ELECTRONICS AND TELECOMMUNICATIONS RESEARCH,2016
,84,Transformer-less DC-DC converter,"Lakshminarayanan, V",Hayden Pub. Co,1996
,85,Transformer-coupled injection for a V-band divide-by-three injection-locked frequency divider,"Chiou, H. K.; Chen, H. J.","John Wiley & Sons, Ltd",2008
,86,Transformer-Less Grid Feeding Current Source Inverter for Solar Photovoltaic System,"Anand, S.; Gundlapalli, S. K.; Fernandes, B. G.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,87,Transformer-based inverter with reduced number of switches for renewable energy applications,"Gandomi, A. A.; Saeidabadi, S.; Hosseini, S. H.; Babaei, E.; Sabahi, M.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2015
,88,Transformer-less five-level high-voltage full-scale converter with a self-balance auxiliary circuit for 10 MW wind turbines,"Xiang-jun, Z.; Hang, W.; Xiao, Z.; De-ling, G.; Xu, Y.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2017
,89,Transformers: Creative Teachers for the 21st Century By Mary Kim Schreck,"Foltz, M.J.",THE DELTA KAPPA GAMMA SOCIETY INTERNATIONAL,2010
,90,"Transformer-4 version 2.0.1, a free multi-platform software to quickly reformat genotype matrices of any marker type, and archive them in the Demiurge information system","Caujap-Castells, J.; Sabbagh, I.; Castellano, J. J.; Ramos, R.; Henrquez, V.; Quintana, F. M.; Medina, D. A.; Toledo, J.; Ramrez, F.; Rodrguez, J. F.",BLACKWELL PUBLISHING LTD,2013
,91,Transformer-type inductive-heating systems,"Inkin, A. I.; Cherednichenko, V. S.; Khatsevskii, K. V.; Ivlikov, S. Y.","ALLERTON PRESS, INC.",2000
,92,Transformers-by-example: Pushing Reuse in Conceptual Web Application Modeling,"Lechner, S.; Schrefl, M.","Elsevier,",2004
,93,Transformer-Based Dual-Mode Voltage-Controlled Oscillators,"Bevilacqua, A.; Pavan, F. P.; Sandner, C.; Gerosa, A.; Neviani, A.",IEEE,2007
,94,Transformer-isolated feedback,"Young, Ron",Hayden Pub. Co,1996
,95,Transformer-Less Series Voltage Sag Compensator without Energy Storage Capacitor for Three-Phase Three-Line Systems,"Chen, Z.; Ise, T.",INSTITUTE OF ELECTRICAL ENGINEERS OF JAPAN,2007
,96,Transformer-Coupled Converter for Voltage Modulation Techniques,"Gonzalez, M. C.; Vasic, M.; Alou, P.; Garcia, O.; Oliver, J. A.; Cobos, J. A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,97,Transformers: Jeppesen Unfolds a New Map Why the chart maker to the world is using very little paper but lots of electrons,"Larson, G.C.",MCGRAW-HILL,2011
,98,Transformers: The Game,unknown,VNU BUSINESS PUBLICATIONS,2007
,99,TransforMED: End-to-Εnd Transformers for Evidence-Based Medicine and Argument Mining in medical literature,"Stylianou, Nikolaos; Vlahavas, Ioannis","Elsevier Science B.V., Amsterdam",2021
,100,Transformer-Coupled Multiport ZVS Bidirectional DC-DC Converter With Wide Input Range,"Tao, H.; Kotsopoulos, A.; Duarte, J.L.; Hendrix, M.A.M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2008
